Oyuncu,Mac,Gol,Asist,Dakika,xG,Gol/90,Asist/90,Sut/90,Isabetli_Sut/90,Gol/Sut_Orani,Skor_Katkisi
Thiago,126.0,47.0,3.0,7168.0,25.5,0.59,0.04,2.39,1.04,0.15,50.0
Adama Traoré,366.0,27.0,52.0,19771.0,18.0,0.12,0.24,1.59,0.5,0.07,79.0
Bertrand Traoré,284.0,67.0,27.0,16917.0,36.2,0.36,0.14,2.47,1.21,0.13,94.0
Leandro Trossard,364.0,102.0,51.0,25045.0,58.1,0.37,0.18,2.36,0.91,0.14,153.0
Stefanos Tzimas,52.0,17.0,4.0,2208.0,0.5,0.69,0.16,3.16,1.89,0.2,21.0
Enes Ünal,329.0,88.0,23.0,18546.0,57.3,0.43,0.11,2.13,1.01,0.16,111.0
Ollie Watkins,398.0,144.0,54.0,32264.0,111.0,0.4,0.15,2.42,1.09,0.16,198.0
Tom Cairney,469.0,53.0,54.0,31051.0,10.0,0.15,0.16,1.03,0.57,0.16,107.0
Danny Welbeck,385.0,86.0,32.0,22266.0,53.2,0.35,0.13,2.44,1.09,0.14,118.0
Estêvão Willian,56.0,14.0,13.0,3388.0,13.7,0.37,0.35,3.08,1.09,0.09,27.0
Florian Wirtz,154.0,35.0,45.0,11175.0,30.8,0.28,0.36,1.92,0.86,0.13,80.0
Yoane Wissa,292.0,90.0,27.0,18872.0,50.0,0.43,0.13,1.8,1.0,0.23,117.0
Ryan Christie,349.0,55.0,58.0,23201.0,15.1,0.21,0.22,2.15,0.78,0.06,113.0
Joshua Acheampong,10.0,1.0,0.0,525.0,0.8,0.17,0.0,0.86,0.34,0.2,1.0
