Oyuncu,Mac,Gol,Asist,Yas,Dakika,xG,Gol/90,Asist/90,Sut/90,Isabetli_Sut/90,Gol/Sut_Orani
Brenden Aaronson,244.0,30.0,28.0,0.0,15908.0,27.1,0.17,0.16,1.86,0.6,0.09
Simon Adingra,137.0,29.0,14.0,0.0,7521.0,12.3,0.35,0.17,2.44,1.01,0.14
Amine Adli,144.0,23.0,18.0,0.0,7390.0,16.3,0.28,0.22,2.24,1.01,0.13
Carlos Alcaraz,131.0,15.0,11.0,0.0,6394.0,16.7,0.21,0.15,2.62,0.96,0.07
Jaidon Anthony,172.0,24.0,16.0,0.0,9927.0,23.7,0.22,0.15,2.0,0.73,0.11
Jhon Arias,205.0,31.0,27.0,0.0,15264.0,21.9,0.18,0.16,1.71,0.64,0.09
Harrison Armstrong,31.0,2.0,1.0,0.0,1906.0,1.1,0.09,0.05,0.71,0.19,0.13
Tolu Arokodare,143.0,41.0,10.0,0.0,7587.0,34.8,0.49,0.12,4.35,1.42,0.11
Taiwo Awoniyi,226.0,55.0,14.0,0.0,12502.0,53.7,0.4,0.1,2.2,0.96,0.18
Dilane Bakwa,116.0,15.0,23.0,0.0,7686.0,8.4,0.18,0.27,1.89,0.73,0.09
Ashley Barnes,518.0,112.0,31.0,0.0,31252.0,50.6,0.32,0.09,2.33,0.9,0.11
Harvey Barnes,284.0,72.0,40.0,0.0,18396.0,53.7,0.35,0.2,2.61,1.1,0.13
Thierno Barry,119.0,46.0,14.0,0.0,8043.0,15.2,0.51,0.16,2.94,1.02,0.13
Jean-Ricner Bellegarde,254.0,16.0,21.0,0.0,14913.0,11.5,0.1,0.13,1.07,0.34,0.07
Beto,181.0,46.0,3.0,0.0,9919.0,54.0,0.42,0.03,2.74,1.09,0.15
Oscar Bobb,26.0,1.0,2.0,0.0,786.0,1.8,0.11,0.23,0.92,0.11,0.13
Jarrod Bowen,339.0,112.0,51.0,0.0,27579.0,86.2,0.37,0.17,2.43,0.92,0.14
Brian Brobbey,168.0,64.0,24.0,0.0,8479.0,53.0,0.68,0.25,3.17,1.47,0.2
Armando Broja,115.0,18.0,3.0,0.0,5220.0,16.9,0.31,0.05,1.93,0.78,0.16
Erling Haaland,234.0,193.0,44.0,0.0,17772.0,144.1,0.98,0.22,3.25,1.76,0.26
Jacob Bruun Larsen,164.0,16.0,7.0,0.0,6035.0,17.3,0.24,0.1,2.07,0.69,0.11
Emi Buendía,285.0,46.0,58.0,0.0,17856.0,32.9,0.23,0.29,1.82,0.66,0.13
Dominic Calvert-Lewin,283.0,66.0,15.0,0.0,17857.0,78.7,0.33,0.08,2.59,1.05,0.12
Fabio Carvalho,107.0,25.0,10.0,0.0,5872.0,19.6,0.38,0.15,2.3,1.07,0.16
Timothy Castagne,312.0,12.0,19.0,0.0,24361.0,12.4,0.04,0.07,0.47,0.17,0.1
Rayan Aït-Nouri,162.0,9.0,14.0,0.0,11475.0,8.1,0.07,0.11,0.82,0.26,0.09
Federico Chiesa,251.0,49.0,34.0,0.0,16798.0,46.6,0.26,0.18,3.32,1.04,0.08
Tawanda Chirewa,27.0,0.0,0.0,0.0,893.0,0.2,0.0,0.0,1.71,0.3,0.0
Samuel Chukwueze,213.0,27.0,22.0,0.0,10992.0,27.5,0.22,0.18,2.45,0.71,0.09
Séamus Coleman,381.0,23.0,24.0,0.0,29710.0,6.6,0.07,0.07,0.46,0.25,0.11
Matheus Cunha,207.0,50.0,25.0,0.0,12290.0,47.4,0.37,0.18,3.19,1.34,0.11
Maxim De Cuyper,144.0,25.0,24.0,0.0,11664.0,12.5,0.19,0.19,1.14,0.37,0.12
Liam Delap,115.0,24.0,4.0,0.0,7075.0,24.2,0.31,0.05,2.42,1.02,0.12
Justin Devenny,35.0,1.0,1.0,0.0,717.0,1.2,0.13,0.13,2.02,1.01,0.06
Tyler Adams,225.0,5.0,14.0,0.0,16760.0,5.6,0.03,0.08,0.4,0.13,0.08
